# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031105.143106 1305031105.175159 1305031105.145800 1305031105.175800 0.002763 0.002704 0.012730 0.029021
1305031105.175159 1305031105.211268 1305031105.175800 1305031105.215900 0.008691 0.013609 0.017595 0.017788
1305031105.211268 1305031105.243270 1305031105.215900 1305031105.245800 0.003067 0.003341 0.013474 0.017298
1305031105.243270 1305031105.275288 1305031105.245800 1305031105.275800 0.003089 0.006994 0.013812 0.029495
1305031105.275288 1305031105.311290 1305031105.275800 1305031105.315800 0.006263 0.005862 0.017174 0.027936
1305031105.311290 1305031105.343302 1305031105.315800 1305031105.345800 0.006368 0.004755 0.012564 0.017634
1305031105.343302 1305031105.375338 1305031105.345800 1305031105.375800 0.003930 0.006880 0.012268 0.007531
1305031105.375338 1305031105.411286 1305031105.375800 1305031105.415800 0.008482 0.010132 0.017021 0.019347
1305031105.411286 1305031105.443316 1305031105.415800 1305031105.445800 0.008696 0.007426 0.012279 0.012313
1305031105.443316 1305031105.475280 1305031105.445800 1305031105.476100 0.001803 0.002132 0.012182 0.008387
1305031105.475280 1305031105.511332 1305031105.476100 1305031105.515800 0.004691 0.005549 0.016281 0.015386
1305031105.511332 1305031105.543282 1305031105.515800 1305031105.545900 0.004514 0.005470 0.012449 0.005192
1305031105.543282 1305031105.575449 1305031105.545900 1305031105.575800 0.002449 0.002959 0.012375 0.007957
1305031105.575449 1305031105.611378 1305031105.575800 1305031105.615800 0.005644 0.005000 0.016554 0.005793
1305031105.611378 1305031105.643273 1305031105.615800 1305031105.645800 0.002443 0.004012 0.013092 0.006844
1305031105.643273 1305031105.711309 1305031105.645800 1305031105.715800 0.007414 0.010074 0.030162 0.008318
1305031105.711309 1305031105.743312 1305031105.715800 1305031105.745900 0.004824 0.006822 0.013537 0.006216
1305031105.743312 1305031105.775339 1305031105.745900 1305031105.775800 0.004986 0.006453 0.013294 0.009325
1305031105.775339 1305031105.811283 1305031105.775800 1305031105.815800 0.005139 0.002855 0.017876 0.010390
1305031105.811283 1305031105.843271 1305031105.815800 1305031105.845800 0.002179 0.002399 0.013135 0.007912
1305031105.843271 1305031105.875337 1305031105.845800 1305031105.875800 0.005890 0.005594 0.013304 0.009522
1305031105.875337 1305031105.911262 1305031105.875800 1305031105.915900 0.002197 0.005410 0.016841 0.015779
1305031105.911262 1305031105.943272 1305031105.915900 1305031105.945800 0.001253 0.002902 0.012474 0.007348
1305031105.943272 1305031105.975329 1305031105.945800 1305031105.975800 0.001999 0.002620 0.012218 0.009176
1305031105.975329 1305031106.011285 1305031105.975800 1305031106.015800 0.002250 0.002997 0.015712 0.012002
1305031106.011285 1305031106.043355 1305031106.015800 1305031106.045800 0.002352 0.002585 0.011512 0.006971
1305031106.043355 1305031106.075330 1305031106.045800 1305031106.075800 0.004309 0.004949 0.011104 0.008025
1305031106.075330 1305031106.111327 1305031106.075800 1305031106.115800 0.003979 0.005946 0.014621 0.012345
1305031106.111327 1305031106.143355 1305031106.115800 1305031106.145800 0.003999 0.007037 0.010316 0.010300
1305031106.143355 1305031106.175534 1305031106.145800 1305031106.175800 0.001905 0.001788 0.008701 0.009205
1305031106.175534 1305031106.211275 1305031106.175800 1305031106.215800 0.005284 0.005499 0.010988 0.005925
1305031106.211275 1305031106.243267 1305031106.215800 1305031106.245800 0.001397 0.004530 0.007103 0.007454
1305031106.243267 1305031106.276385 1305031106.245800 1305031106.275800 0.003631 0.002874 0.007281 0.004600
1305031106.276385 1305031106.311238 1305031106.275800 1305031106.315800 0.002216 0.002773 0.007788 0.013038
1305031106.311238 1305031106.343258 1305031106.315800 1305031106.345800 0.005338 0.008640 0.004601 0.014757
1305031106.343258 1305031106.375388 1305031106.345800 1305031106.375800 0.005057 0.008355 0.002612 0.019999
1305031106.375388 1305031106.411320 1305031106.375800 1305031106.415800 0.007786 0.012593 0.000671 0.020180
1305031106.411320 1305031106.443278 1305031106.415800 1305031106.445800 0.006720 0.011725 0.002850 0.008175
1305031106.443278 1305031106.475345 1305031106.445800 1305031106.475800 0.002958 0.005724 0.004367 0.005417
1305031106.475345 1305031106.511129 1305031106.475800 1305031106.515900 0.003279 0.005196 0.009172 0.011155
1305031106.511129 1305031106.543302 1305031106.515900 1305031106.545800 0.003618 0.005533 0.008316 0.008621
1305031106.543302 1305031106.575282 1305031106.545800 1305031106.575800 0.001867 0.001778 0.009637 0.005296
1305031106.575282 1305031106.611151 1305031106.575800 1305031106.615800 0.003842 0.005357 0.013574 0.011469
1305031106.611151 1305031106.643207 1305031106.615800 1305031106.645800 0.003060 0.007069 0.011573 0.005451
1305031106.643207 1305031106.675279 1305031106.645800 1305031106.675800 0.006008 0.007425 0.012494 0.008011
1305031106.675279 1305031106.711508 1305031106.675800 1305031106.715800 0.004316 0.004907 0.016883 0.015665
1305031106.711508 1305031106.743341 1305031106.715800 1305031106.745800 0.003348 0.002420 0.013365 0.012312
1305031106.743341 1305031106.775390 1305031106.745800 1305031106.775800 0.005560 0.006525 0.013824 0.010058
1305031106.775390 1305031106.811289 1305031106.775800 1305031106.815800 0.005676 0.006992 0.018872 0.009443
1305031106.811289 1305031106.843416 1305031106.815800 1305031106.845800 0.007768 0.012261 0.015130 0.009198
1305031106.843416 1305031106.875905 1305031106.845800 1305031106.876000 0.005317 0.007432 0.015732 0.014668
1305031106.875905 1305031106.911243 1305031106.876000 1305031106.915800 0.006585 0.009411 0.021253 0.010440
1305031106.911243 1305031106.943439 1305031106.915800 1305031106.945800 0.002814 0.007852 0.015872 0.012051
1305031106.943439 1305031106.975547 1305031106.945800 1305031106.975800 0.004277 0.001765 0.016684 0.013032
1305031106.975547 1305031107.011576 1305031106.975800 1305031107.015800 0.009315 0.011260 0.020833 0.011777
1305031107.011576 1305031107.043281 1305031107.015800 1305031107.045800 0.003223 0.002120 0.015205 0.004871
1305031107.043281 1305031107.075432 1305031107.045800 1305031107.075900 0.004888 0.003901 0.015085 0.010221
1305031107.075432 1305031107.111229 1305031107.075900 1305031107.115800 0.007278 0.005005 0.018848 0.008188
1305031107.111229 1305031107.143260 1305031107.115800 1305031107.145800 0.004580 0.004790 0.013484 0.003117
1305031107.143260 1305031107.175399 1305031107.145800 1305031107.175800 0.006161 0.006202 0.013031 0.007738
1305031107.175399 1305031107.211358 1305031107.175800 1305031107.215800 0.004749 0.005499 0.017496 0.017497
1305031107.211358 1305031107.243378 1305031107.215800 1305031107.245800 0.005113 0.002534 0.011592 0.013771
1305031107.243378 1305031107.275398 1305031107.245800 1305031107.275800 0.002225 0.002515 0.012068 0.013293
1305031107.275398 1305031107.311226 1305031107.275800 1305031107.315800 0.005081 0.007746 0.015104 0.019843
1305031107.311226 1305031107.343509 1305031107.315800 1305031107.345800 0.004871 0.005865 0.010429 0.024873
1305031107.343509 1305031107.375413 1305031107.345800 1305031107.375800 0.009293 0.013128 0.009218 0.013619
1305031107.375413 1305031107.411271 1305031107.375800 1305031107.415800 0.001670 0.001467 0.009842 0.016072
1305031107.411271 1305031107.443419 1305031107.415800 1305031107.445800 0.005127 0.003605 0.005135 0.011067
1305031107.443419 1305031107.475377 1305031107.445800 1305031107.475800 0.002912 0.002489 0.004853 0.009218
1305031107.475377 1305031107.511352 1305031107.475800 1305031107.515800 0.009098 0.006847 0.005406 0.005607
1305031107.511352 1305031107.543605 1305031107.515800 1305031107.545700 0.002215 0.003671 0.003536 0.010062
1305031107.543605 1305031107.575454 1305031107.545700 1305031107.575800 0.006363 0.004880 0.003225 0.007478
1305031107.575454 1305031107.611271 1305031107.575800 1305031107.615800 0.007399 0.006435 0.003716 0.002898
1305031107.611271 1305031107.643323 1305031107.615800 1305031107.645800 0.001685 0.001468 0.002594 0.006392
1305031107.643323 1305031107.675568 1305031107.645800 1305031107.675800 0.001409 0.003547 0.002655 0.001017
1305031107.675568 1305031107.711307 1305031107.675800 1305031107.715700 0.001709 0.002449 0.003817 0.004569
1305031107.711307 1305031107.743538 1305031107.715700 1305031107.745800 0.003254 0.002706 0.003013 0.007478
1305031107.743538 1305031107.775802 1305031107.745800 1305031107.775800 0.002582 0.004071 0.002766 0.006873
1305031107.775802 1305031107.811596 1305031107.775800 1305031107.815800 0.002901 0.007017 0.003030 0.008868
1305031107.811596 1305031107.843332 1305031107.815800 1305031107.845900 0.002517 0.002629 0.002223 0.004895
1305031107.843332 1305031107.875358 1305031107.845900 1305031107.875700 0.006834 0.005906 0.002083 0.007636
1305031107.875358 1305031107.911541 1305031107.875700 1305031107.915800 0.001911 0.005851 0.003829 0.010976
1305031107.911541 1305031107.943122 1305031107.915800 1305031107.945800 0.003319 0.006452 0.004616 0.009786
1305031107.943122 1305031107.975807 1305031107.945800 1305031107.975800 0.002311 0.001704 0.006036 0.009403
1305031107.975807 1305031108.011320 1305031107.975800 1305031108.015900 0.002904 0.002324 0.010181 0.014449
1305031108.011320 1305031108.043418 1305031108.015900 1305031108.045800 0.007169 0.006357 0.009874 0.016495
1305031108.043418 1305031108.075352 1305031108.045800 1305031108.075800 0.005080 0.004591 0.010675 0.016951
1305031108.075352 1305031108.111378 1305031108.075800 1305031108.115800 0.006241 0.003219 0.014540 0.012586
1305031108.111378 1305031108.143334 1305031108.115800 1305031108.145900 0.006549 0.006508 0.011811 0.006934
1305031108.143334 1305031108.176058 1305031108.145900 1305031108.175800 0.007409 0.003564 0.011951 0.007009
1305031108.176058 1305031108.211475 1305031108.175800 1305031108.215800 0.005993 0.002383 0.016103 0.012016
1305031108.211475 1305031108.243347 1305031108.215800 1305031108.245800 0.009561 0.006389 0.011921 0.007853
1305031108.243347 1305031108.275358 1305031108.245800 1305031108.275800 0.006795 0.005338 0.011789 0.006511
1305031108.275358 1305031108.311332 1305031108.275800 1305031108.315700 0.008566 0.009865 0.015241 0.012308
1305031108.311332 1305031108.343278 1305031108.315700 1305031108.345800 0.001717 0.002845 0.011258 0.011395
1305031108.343278 1305031108.375410 1305031108.345800 1305031108.375800 0.002929 0.001629 0.011190 0.014580
