# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031105.811283 1305031105.843271 1305031105.815800 1305031105.845800 0.001939 0.002024 0.013135 0.007912
1305031105.843271 1305031105.875337 1305031105.845800 1305031105.875800 0.003728 0.004936 0.013304 0.009522
1305031105.875337 1305031105.911262 1305031105.875800 1305031105.915900 0.004011 0.002670 0.016841 0.015779
1305031105.911262 1305031105.943272 1305031105.915900 1305031105.945800 0.002477 0.003676 0.012474 0.007348
1305031105.943272 1305031105.975329 1305031105.945800 1305031105.975800 0.001745 0.002166 0.012218 0.009176
1305031105.975329 1305031106.011285 1305031105.975800 1305031106.015800 0.002965 0.001667 0.015712 0.012002
1305031106.011285 1305031106.043355 1305031106.015800 1305031106.045800 0.002637 0.004427 0.011512 0.006971
1305031106.043355 1305031106.075330 1305031106.045800 1305031106.075800 0.001764 0.002341 0.011104 0.008025
1305031106.075330 1305031106.111327 1305031106.075800 1305031106.115800 0.003171 0.004167 0.014621 0.012345
1305031106.111327 1305031106.143355 1305031106.115800 1305031106.145800 0.003341 0.006232 0.010316 0.010300
1305031106.143355 1305031106.175534 1305031106.145800 1305031106.175800 0.003201 0.002461 0.008701 0.009205
1305031106.175534 1305031106.211275 1305031106.175800 1305031106.215800 0.004790 0.005002 0.010988 0.005925
1305031106.211275 1305031106.243267 1305031106.215800 1305031106.245800 0.001224 0.004091 0.007103 0.007454
1305031106.243267 1305031106.276385 1305031106.245800 1305031106.275800 0.003472 0.002803 0.007281 0.004600
1305031106.276385 1305031106.311238 1305031106.275800 1305031106.315800 0.001607 0.003463 0.007788 0.013038
1305031106.311238 1305031106.343258 1305031106.315800 1305031106.345800 0.003489 0.005572 0.004601 0.014757
1305031106.343258 1305031106.375388 1305031106.345800 1305031106.375800 0.004355 0.008019 0.002612 0.019999
1305031106.375388 1305031106.411320 1305031106.375800 1305031106.415800 0.007396 0.012173 0.000671 0.020180
1305031106.411320 1305031106.443278 1305031106.415800 1305031106.445800 0.005424 0.009854 0.002850 0.008175
1305031106.443278 1305031106.475345 1305031106.445800 1305031106.475800 0.003461 0.005489 0.004367 0.005417
1305031106.475345 1305031106.511129 1305031106.475800 1305031106.515900 0.004021 0.005789 0.009172 0.011155
1305031106.511129 1305031106.543302 1305031106.515900 1305031106.545800 0.001830 0.003464 0.008316 0.008621
1305031106.543302 1305031106.575282 1305031106.545800 1305031106.575800 0.002106 0.002952 0.009637 0.005296
1305031106.575282 1305031106.611151 1305031106.575800 1305031106.615800 0.004183 0.005818 0.013574 0.011469
1305031106.611151 1305031106.643207 1305031106.615800 1305031106.645800 0.003720 0.007592 0.011573 0.005451
1305031106.643207 1305031106.675279 1305031106.645800 1305031106.675800 0.004196 0.005574 0.012494 0.008011
1305031106.675279 1305031106.711508 1305031106.675800 1305031106.715800 0.005125 0.004779 0.016883 0.015665
1305031106.711508 1305031106.743341 1305031106.715800 1305031106.745800 0.002112 0.001546 0.013365 0.012312
1305031106.743341 1305031106.775390 1305031106.745800 1305031106.775800 0.003239 0.004614 0.013824 0.010058
1305031106.775390 1305031106.811289 1305031106.775800 1305031106.815800 0.005197 0.007275 0.018872 0.009443
1305031106.811289 1305031106.843416 1305031106.815800 1305031106.845800 0.006699 0.011359 0.015130 0.009198
1305031106.843416 1305031106.875905 1305031106.845800 1305031106.876000 0.004317 0.006560 0.015732 0.014668
1305031106.875905 1305031106.911243 1305031106.876000 1305031106.915800 0.006295 0.008738 0.021253 0.010440
