# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
7141.334383 7141.371247 7141.330000 7141.370000 0.001777 0.002264 0.015729 0.015723
7141.371247 7141.408110 7141.370000 7141.410000 0.001516 0.002345 0.013839 0.012176
7141.408110 7141.444973 7141.410000 7141.440000 0.003321 0.001319 0.009047 0.008973
7141.444973 7141.481837 7141.440000 7141.480000 0.000844 0.001821 0.010114 0.011317
7141.481837 7141.518700 7141.480000 7141.520000 0.014284 0.010874 0.007577 0.008432
7141.518700 7141.555564 7141.520000 7141.560000 0.003982 0.003397 0.005358 0.006701
7141.555564 7141.592427 7141.560000 7141.590000 0.001057 0.001334 0.002757 0.004587
7141.592427 7141.629291 7141.590000 7141.630000 0.000704 0.001171 0.002348 0.006369
7141.629291 7141.666154 7141.630000 7141.670000 0.000696 0.000944 0.001774 0.005630
7141.666154 7141.703017 7141.670000 7141.700000 0.001460 0.001204 0.002045 0.006286
7141.703017 7141.739881 7141.700000 7141.740000 0.002486 0.001756 0.004703 0.010217
7141.739881 7141.776744 7141.740000 7141.780000 0.000934 0.000849 0.007232 0.008216
7141.776744 7141.813608 7141.780000 7141.810000 0.001618 0.000934 0.006592 0.005208
7141.813608 7141.850471 7141.810000 7141.850000 0.001222 0.001468 0.009764 0.007621
7141.850471 7141.887335 7141.850000 7141.890000 0.001900 0.001368 0.012201 0.009149
7141.887335 7141.924198 7141.890000 7141.920000 0.002015 0.000634 0.011305 0.008528
7141.924198 7141.961061 7141.920000 7141.960000 0.001689 0.002403 0.016390 0.014535
7141.961061 7141.997925 7141.960000 7142.000000 0.002026 0.001678 0.017989 0.015589
7141.997925 7142.034788 7142.000000 7142.030000 0.002369 0.002919 0.014449 0.011262
7142.034788 7142.071652 7142.030000 7142.070000 0.004282 0.002661 0.020193 0.014020
7142.071652 7142.108515 7142.070000 7142.110000 0.002859 0.002175 0.021771 0.015690
7142.108515 7142.145379 7142.110000 7142.150000 0.003252 0.001953 0.022440 0.015575
7142.145379 7142.182242 7142.150000 7142.180000 0.003081 0.001872 0.016935 0.010995
7142.182242 7142.219105 7142.180000 7142.220000 0.006169 0.004659 0.022806 0.017815
7142.219105 7142.255969 7142.220000 7142.260000 0.020719 0.016539 0.022694 0.023162
7142.255969 7142.292832 7142.260000 7142.290000 0.003009 0.003971 0.016698 0.018053
7142.292832 7142.329696 7142.290000 7142.330000 0.006002 0.004184 0.021809 0.021733
7142.329696 7142.366559 7142.330000 7142.370000 0.001689 0.000877 0.021413 0.021088
7142.366559 7142.403423 7142.370000 7142.400000 0.004630 0.003874 0.015598 0.014696
7142.403423 7142.440286 7142.400000 7142.440000 0.012254 0.009418 0.021032 0.019817
